time,src,dst,protocol,length,flags,info,src_port,dst_port,icmp_type
1730803200,192.168.0.40,10.0.0.30,UDP,64,,DNS query,53100,53,
1730803201,192.168.0.41,10.0.0.30,UDP,120,,Large UDP,53101,9999,
1730803202,192.168.0.40,10.0.0.30,UDP,64,,DNS query,53102,53,
1730803203,192.168.0.42,10.0.0.31,UDP,90,,NTP,53103,123,
1730803204,192.168.0.43,10.0.0.31,UDP,70,,Generic,53104,5555,
1730803205,192.168.0.44,10.0.0.32,UDP,72,,Syslog,53105,514,
1730803206,192.168.0.45,10.0.0.32,UDP,80,,RTP,53106,5004,
1730803207,192.168.0.46,10.0.0.33,UDP,64,,DNS query,53107,53,
1730803208,192.168.0.47,10.0.0.33,UDP,120,,Large UDP,53108,9999,
1730803209,192.168.0.48,10.0.0.34,UDP,64,,DNS query,53109,53,
1730803210,192.168.0.49,10.0.0.34,UDP,90,,NTP,53110,123,
1730803211,192.168.0.50,10.0.0.35,UDP,70,,Generic,53111,5555,
1730803212,192.168.0.51,10.0.0.35,UDP,72,,Syslog,53112,514,
1730803213,192.168.0.52,10.0.0.36,UDP,80,,RTP,53113,5004,
1730803214,192.168.0.53,10.0.0.36,UDP,64,,DNS query,53114,53,
1730803215,192.168.0.54,10.0.0.37,UDP,120,,Large UDP,53115,9999,
1730803216,192.168.0.55,10.0.0.37,UDP,64,,DNS query,53116,53,
1730803217,192.168.0.56,10.0.0.38,UDP,90,,NTP,53117,123,
1730803218,192.168.0.57,10.0.0.38,UDP,70,,Generic,53118,5555,
1730803219,192.168.0.58,10.0.0.39,UDP,72,,Syslog,53119,514,
1730803220,192.168.0.59,10.0.0.39,UDP,80,,RTP,53120,5004,
1730803221,192.168.0.60,10.0.0.40,UDP,64,,DNS query,53121,53,
1730803222,192.168.0.61,10.0.0.40,UDP,120,,Large UDP,53122,9999,
1730803223,192.168.0.62,10.0.0.41,UDP,64,,DNS query,53123,53,
1730803224,192.168.0.63,10.0.0.41,UDP,90,,NTP,53124,123,

