time,src,dst,protocol,length,flags,info,src_port,dst_port,icmp_type
1730803200,192.168.2.20,10.0.2.10,TCP,74,S,SYN,55000,80,
1730803201,192.168.2.21,10.0.2.10,TCP,74,S,SYN,55001,80,
1730803202,10.0.2.10,192.168.2.20,TCP,74,SA,SYN-ACK,80,55000,
1730803203,192.168.2.22,10.0.2.11,TCP,66,PA,HTTP GET,55002,80,
1730803204,192.168.2.23,10.0.2.11,TCP,60,R,Reset,55003,22,
1730803205,192.168.2.24,10.0.2.11,TCP,66,PA,HTTPS,55004,443,
1730803206,192.168.2.25,10.0.2.12,TCP,60,S,SYN,55005,22,
1730803207,192.168.2.26,10.0.2.12,TCP,66,FA,FIN-ACK,55006,22,
1730803208,10.0.2.12,192.168.2.26,TCP,60,A,ACK,22,55006,
1730803209,192.168.2.27,10.0.2.13,TCP,74,S,SYN,55007,80,
1730803210,10.0.2.13,192.168.2.27,TCP,74,SA,SYN-ACK,80,55007,
1730803211,192.168.2.28,10.0.2.14,TCP,74,S,SYN,55008,80,
1730803212,192.168.2.29,10.0.2.14,TCP,66,PA,HTTP POST,55009,80,
1730803213,192.168.2.30,10.0.2.15,TCP,60,R,Reset,55010,25,
1730803214,192.168.2.31,10.0.2.15,TCP,66,PA,SMTP,55011,25,
1730803215,192.168.2.32,10.0.2.16,TCP,60,S,SYN,55012,22,
1730803216,192.168.2.33,10.0.2.16,TCP,66,PA,SSH data,55013,22,
1730803217,192.168.2.34,10.0.2.17,TCP,60,R,Reset,55014,23,
1730803218,192.168.2.35,10.0.2.17,TCP,66,PA,TELNET,55015,23,
1730803219,192.168.2.36,10.0.2.18,TCP,74,S,SYN,55016,80,
1730803220,10.0.2.18,192.168.2.36,TCP,74,SA,SYN-ACK,80,55016,
1730803221,192.168.2.37,10.0.2.19,TCP,60,S,SYN,55017,22,
1730803222,192.168.2.38,10.0.2.19,TCP,66,FA,FIN-ACK,55018,22,
1730803223,10.0.2.19,192.168.2.38,TCP,60,A,ACK,22,55018,
1730803224,192.168.2.39,10.0.2.20,TCP,74,S,SYN,55019,80,
1730803225,192.168.2.40,10.0.2.20,TCP,74,S,SYN,55020,80,
1730803226,10.0.2.20,192.168.2.39,TCP,74,SA,SYN-ACK,80,55019,
1730803227,192.168.2.41,10.0.2.21,TCP,66,PA,HTTP GET,55021,80,
1730803228,192.168.2.42,10.0.2.21,TCP,60,R,Reset,55022,22,
1730803229,192.168.2.43,10.0.2.22,TCP,66,PA,HTTPS,55023,443,
1730803230,192.168.2.44,10.0.2.22,TCP,60,S,SYN,55024,22,
1730803231,192.168.2.45,10.0.2.23,TCP,66,FA,FIN-ACK,55025,22,
1730803232,10.0.2.23,192.168.2.45,TCP,60,A,ACK,22,55025,
1730803233,192.168.2.46,10.0.2.24,TCP,74,S,SYN,55026,80,
1730803234,10.0.2.24,192.168.2.46,TCP,74,SA,SYN-ACK,80,55026,
1730803235,192.168.2.47,10.0.2.24,TCP,74,S,SYN,55027,80,
1730803236,192.168.2.48,10.0.2.25,TCP,66,PA,HTTP POST,55028,80,
1730803237,192.168.2.49,10.0.2.25,TCP,60,R,Reset,55029,25,
1730803238,192.168.2.50,10.0.2.26,TCP,66,PA,SMTP,55030,25,
1730803239,192.168.2.51,10.0.2.26,TCP,60,S,SYN,55031,22,
1730803240,192.168.2.52,10.0.2.27,TCP,66,PA,SSH data,55032,22,
1730803241,192.168.2.53,10.0.2.27,TCP,60,R,Reset,55033,23,
1730803242,192.168.2.54,10.0.2.28,TCP,66,PA,TELNET,55034,23,
1730803243,192.168.2.55,10.0.2.28,TCP,74,S,SYN,55035,80,
1730803244,10.0.2.28,192.168.2.55,TCP,74,SA,SYN-ACK,80,55035,
1730803245,192.168.2.56,10.0.2.29,TCP,60,S,SYN,55036,22,
1730803246,192.168.2.57,10.0.2.29,TCP,66,FA,FIN-ACK,55037,22,
1730803247,10.0.2.29,192.168.2.57,TCP,60,A,ACK,22,55037,
1730803248,192.168.2.58,10.0.2.30,TCP,74,S,SYN,55038,80,
1730803249,192.168.2.59,10.0.2.30,TCP,74,S,SYN,55039,80,
1730803250,10.0.2.30,192.168.2.58,TCP,74,SA,SYN-ACK,80,55038,
1730803251,192.168.2.60,10.0.2.31,TCP,66,PA,HTTP GET,55040,80,
1730803252,192.168.2.61,10.0.2.31,TCP,60,R,Reset,55041,22,
1730803253,192.168.2.62,10.0.2.32,TCP,66,PA,HTTPS,55042,443,
1730803254,192.168.2.63,10.0.2.32,TCP,60,S,SYN,55043,22,
1730803255,192.168.2.64,10.0.2.33,TCP,66,FA,FIN-ACK,55044,22,
1730803256,10.0.2.33,192.168.2.64,TCP,60,A,ACK,22,55044,
1730803257,192.168.2.65,10.0.2.34,TCP,74,S,SYN,55045,80,
1730803258,10.0.2.34,192.168.2.65,TCP,74,SA,SYN-ACK,80,55045,
1730803259,192.168.2.66,10.0.2.34,TCP,74,S,SYN,55046,80,
1730803260,192.168.2.67,10.0.2.35,TCP,66,PA,HTTP POST,55047,80,
1730803261,192.168.2.68,10.0.2.35,TCP,60,R,Reset,55048,25,
1730803262,192.168.2.69,10.0.2.36,TCP,66,PA,SMTP,55049,25,

