time,src,dst,protocol,length,flags,info,src_port,dst_port,icmp_type
1730803200,192.168.0.20,10.0.0.10,TCP,74,S,SYN,54000,80,
1730803201,192.168.0.21,10.0.0.10,TCP,74,S,SYN,54001,80,
1730803202,10.0.0.10,192.168.0.20,TCP,74,SA,SYN-ACK,80,54000,
1730803203,192.168.0.22,10.0.0.10,TCP,66,PA,HTTP GET,54002,80,
1730803204,192.168.0.23,10.0.0.11,TCP,60,R,Reset,54003,22,
1730803205,192.168.0.24,10.0.0.11,TCP,66,PA,HTTPS,54004,443,
1730803206,192.168.0.25,10.0.0.12,TCP,60,S,SYN,54005,22,
1730803207,192.168.0.26,10.0.0.12,TCP,66,FA,FIN-ACK,54006,22,
1730803208,10.0.0.12,192.168.0.26,TCP,60,A,ACK,22,54006,
1730803209,192.168.0.27,10.0.0.13,TCP,74,S,SYN,54007,80,
1730803210,10.0.0.13,192.168.0.27,TCP,74,SA,SYN-ACK,80,54007,
1730803211,192.168.0.28,10.0.0.14,TCP,74,S,SYN,54008,80,
1730803212,192.168.0.29,10.0.0.14,TCP,66,PA,HTTP POST,54009,80,
1730803213,192.168.0.30,10.0.0.15,TCP,60,R,Reset,54010,25,
1730803214,192.168.0.31,10.0.0.15,TCP,66,PA,SMTP,54011,25,
1730803215,192.168.0.32,10.0.0.16,TCP,60,S,SYN,54012,22,
1730803216,192.168.0.33,10.0.0.16,TCP,66,PA,SSH data,54013,22,
1730803217,192.168.0.34,10.0.0.17,TCP,60,R,Reset,54014,23,
1730803218,192.168.0.35,10.0.0.17,TCP,66,PA,TELNET,54015,23,
1730803219,192.168.0.36,10.0.0.18,TCP,74,S,SYN,54016,80,
1730803220,10.0.0.18,192.168.0.36,TCP,74,SA,SYN-ACK,80,54016,
1730803221,192.168.0.37,10.0.0.19,TCP,60,S,SYN,54017,22,
1730803222,192.168.0.38,10.0.0.19,TCP,66,FA,FIN-ACK,54018,22,
1730803223,10.0.0.19,192.168.0.38,TCP,60,A,ACK,22,54018,
1730803224,192.168.0.39,10.0.0.20,TCP,74,S,SYN,54019,80,

