time,src,dst,protocol,length,flags,info,src_port,dst_port,icmp_type
1730803200,192.168.1.10,10.0.1.5,ICMP,84,,Echo request,,,8
1730803201,192.168.1.11,10.0.1.5,ICMP,84,,Echo request,,,8
1730803202,192.168.1.12,10.0.1.6,ICMP,72,,Echo reply,,,0
1730803203,192.168.1.13,10.0.1.6,ICMP,84,,Echo request,,,8
1730803204,192.168.1.14,10.0.1.7,ICMP,98,,Echo request,,,8
1730803205,192.168.1.15,10.0.1.7,ICMP,84,,Echo request,,,8
1730803206,192.168.1.16,10.0.1.8,ICMP,84,,Echo request,,,8
1730803207,192.168.1.17,10.0.1.8,ICMP,72,,Echo reply,,,0
1730803208,192.168.1.18,10.0.1.9,ICMP,84,,Echo request,,,8
1730803209,192.168.1.19,10.0.1.9,ICMP,84,,Echo request,,,8
1730803210,192.168.1.20,10.0.1.10,ICMP,84,,Echo request,,,8
1730803211,192.168.1.21,10.0.1.10,ICMP,72,,Echo reply,,,0
1730803212,192.168.1.22,10.0.1.11,ICMP,84,,Echo request,,,8
1730803213,192.168.1.23,10.0.1.11,ICMP,84,,Echo request,,,8
1730803214,192.168.1.24,10.0.1.12,ICMP,84,,Echo request,,,8
1730803215,192.168.1.25,10.0.1.12,ICMP,72,,Echo reply,,,0
1730803216,192.168.1.26,10.0.1.13,ICMP,84,,Echo request,,,8
1730803217,192.168.1.27,10.0.1.13,ICMP,84,,Echo request,,,8
1730803218,192.168.1.28,10.0.1.14,ICMP,98,,Echo request,,,8
1730803219,192.168.1.29,10.0.1.14,ICMP,84,,Echo request,,,8
1730803220,192.168.1.30,10.0.1.15,ICMP,84,,Echo request,,,8
1730803221,192.168.1.31,10.0.1.15,ICMP,72,,Echo reply,,,0
1730803222,192.168.1.32,10.0.1.16,ICMP,84,,Echo request,,,8
1730803223,192.168.1.33,10.0.1.16,ICMP,84,,Echo request,,,8
1730803224,192.168.1.34,10.0.1.17,ICMP,84,,Echo request,,,8
1730803225,192.168.1.35,10.0.1.17,ICMP,72,,Echo reply,,,0
1730803226,192.168.1.36,10.0.1.18,ICMP,84,,Echo request,,,8
1730803227,192.168.1.37,10.0.1.18,ICMP,84,,Echo request,,,8
1730803228,192.168.1.38,10.0.1.19,ICMP,84,,Echo request,,,8
1730803229,192.168.1.39,10.0.1.19,ICMP,98,,Echo request,,,8
1730803230,192.168.1.40,10.0.1.20,ICMP,84,,Echo request,,,8
1730803231,192.168.1.41,10.0.1.20,ICMP,72,,Echo reply,,,0
1730803232,192.168.1.42,10.0.1.21,ICMP,84,,Echo request,,,8
1730803233,192.168.1.43,10.0.1.21,ICMP,84,,Echo request,,,8
1730803234,192.168.1.44,10.0.1.22,ICMP,84,,Echo request,,,8
1730803235,192.168.1.45,10.0.1.22,ICMP,72,,Echo reply,,,0
1730803236,192.168.1.46,10.0.1.23,ICMP,84,,Echo request,,,8
1730803237,192.168.1.47,10.0.1.23,ICMP,84,,Echo request,,,8
1730803238,192.168.1.48,10.0.1.24,ICMP,84,,Echo request,,,8
1730803239,192.168.1.49,10.0.1.24,ICMP,98,,Echo request,,,8
1730803240,192.168.1.50,10.0.1.25,ICMP,84,,Echo request,,,8
1730803241,192.168.1.51,10.0.1.25,ICMP,72,,Echo reply,,,0
1730803242,192.168.1.52,10.0.1.26,ICMP,84,,Echo request,,,8
1730803243,192.168.1.53,10.0.1.26,ICMP,84,,Echo request,,,8
1730803244,192.168.1.54,10.0.1.27,ICMP,84,,Echo request,,,8
1730803245,192.168.1.55,10.0.1.27,ICMP,72,,Echo reply,,,0
1730803246,192.168.1.56,10.0.1.28,ICMP,84,,Echo request,,,8
1730803247,192.168.1.57,10.0.1.28,ICMP,84,,Echo request,,,8
